Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
547094,I Am Legend and Other Stories,Richard Matheson,"Matheson, Richard",,"=""031286504X""","=""9780312865047""",0,4.00,Orb Books,Paperback,317,1997,1954,,2025/08/19,"to-read, queue","to-read (#42), queue (#3)",to-read,,,,0,0
57106040,La anomalía,Hervé Le Tellier,"Tellier, Hervé Le",Pablo Martín Sánchez,"=""8432237922""","=""9788432237928""",0,3.79,Seix Barral,Paperback,366,2021,2020,,2025/09/24,to-read,to-read (#43),to-read,,,,0,0
43909397,No Longer Human,Junji Ito,"Ito, Junji",Osamu Dazai,"=""1974707091""","=""9781974707096""",5,4.28,VIZ Media,Hardcover,616,2019,2019,2025/09/07,2025/08/20,,,read,,,,1,0
55868456,The Spear Cuts Through Water,Simon Jimenez,"Jimenez, Simon",,"=""0593156595""","=""9780593156599""",0,4.14,Del Rey,Hardcover,525,2022,2022,,2024/12/29,"queue, currently-reading","queue (#1), currently-reading (#2)",currently-reading,,,,1,0
43695901,5 Centimeters per Second: one more side,Arata Kanoh,"Kanoh, Arata","Makoto Shinkai, Kristi Fernandez","=""1947194097""","=""9781947194090""",4,4.08,Vertical,Paperback,240,2019,2011,2025/07/24,2025/07/16,,,read,,,,1,0
238775195,Do Androids Dream of Electric Sheep?,Philip K. Dick,"Dick, Philip K.",Roger Zelazny,"=""0345404475""","=""9780345404473""",4,4.09,Del Rey,Paperback,224,2017,1968,2023/02/18,2025/07/16,,,read,,,,3,0
222347913,Neón Genesis Evangelion ANIMA Vol. 2,Ikuto Yamashita,"Yamashita, Ikuto",,"=""""","=""""",4,3.78,Panini Manga,Paperback,308,2024,2017,2025/05/27,2025/03/04,,,read,,,,1,0
60139504,How to Keep House While Drowning,K.C.  Davis,"Davis, K.C.",,"=""166800285X""","=""9781668002858""",0,4.20,S&S/Simon Element,Kindle Edition,151,2022,2022,,2025/04/21,to-read,to-read (#41),to-read,,,,0,0
43352954,This Is How You Lose the Time War,Amal El-Mohtar,"El-Mohtar, Amal",Max Gladstone,"=""""","=""""",0,3.83,Saga Press,ebook,209,2019,2019,,2025/04/21,to-read,to-read (#40),to-read,,,,0,0
58725025,"Ordinary Monsters (The Talents Trilogy, #1)",J.M. Miro,"Miro, J.M.",,"=""1250833663""","=""9781250833662""",0,3.77,Flatiron Books,Hardcover,672,2022,2022,,2025/04/21,to-read,to-read (#39),to-read,,,,0,0
61294937,"The Adventures of Amina al-Sirafi (Amina al-Sirafi, #1)",Shannon Chakraborty,"Chakraborty, Shannon",S.A. Chakraborty,"=""""","=""""",0,4.24,Harper Voyager,Hardcover,483,2023,2023,,2025/04/21,to-read,to-read (#38),to-read,,,,0,0
60652997,"Hell Bent (Alex Stern, #2)",Leigh Bardugo,"Bardugo, Leigh",,"=""1250313104""","=""9781250313102""",0,4.10,Flatiron Books,Hardcover,481,2023,2023,,2025/04/21,to-read,to-read (#37),to-read,,,,0,0
41880609,On Earth We're Briefly Gorgeous,Ocean Vuong,"Vuong, Ocean",,"=""0525562028""","=""9780525562023""",0,4.00,Penguin Press,Hardcover,246,2019,2019,,2025/04/21,to-read,to-read (#36),to-read,,,,0,0
